split,year,team_name,wins,losses,num_games,win_percentage
vs. FBS Winning,2015,Akron,0,5,5,0.0
vs. FBS Non-Winning,2015,Akron,7,0,7,1.0
vs. BCS AQ,2015,Akron,0,2,2,0.0
vs. BCS non-AQ,2015,Akron,7,3,10,0.7
vs. FBS Power 5,2015,Akron,0,2,2,0.0
vs. FBS non-Power 5,2015,Akron,7,3,10,0.7
in August/September,2015,Akron,2,2,4,0.5
in October,2015,Akron,1,3,4,0.25
in November,2015,Akron,4,0,4,1.0
in December/January,2015,Akron,1,0,1,1.0
All Games,2016,Akron,5,7,12,0.4166666666666667
at Home,2016,Akron,2,4,6,0.3333333333333333
on Road/Neutral Site,2016,Akron,3,3,6,0.5
vs. Conference,2016,Akron,3,5,8,0.375
vs. Non-Conference,2016,Akron,2,2,4,0.5
vs. Ranked (AP),2016,Akron,0,2,2,0.0
vs. Unranked (AP),2016,Akron,5,5,10,0.5
vs. FBS (I-A),2016,Akron,4,7,11,0.36363636363636365
vs. FCS (I-AA),2016,Akron,1,0,1,1.0
vs. FBS Winning,2016,Akron,0,5,5,0.0
vs. FBS Non-Winning,2016,Akron,4,2,6,0.6666666666666666
vs. BCS AQ,2016,Akron,0,1,1,0.0
vs. BCS non-AQ,2016,Akron,4,6,10,0.4
vs. FBS Power 5,2016,Akron,0,1,1,0.0
vs. FBS non-Power 5,2016,Akron,4,6,10,0.4
in August/September,2016,Akron,2,2,4,0.5
in October,2016,Akron,3,2,5,0.6
in November,2016,Akron,0,3,3,0.0
in December/January,2016,Akron,0,0,0,
All Games,2017,Akron,7,7,14,0.5
at Home,2017,Akron,5,1,6,0.8333333333333334
on Road/Neutral Site,2017,Akron,2,6,8,0.25
vs. Conference,2017,Akron,6,3,9,0.6666666666666666
vs. Non-Conference,2017,Akron,1,4,5,0.2
vs. Ranked (AP),2017,Akron,0,1,1,0.0
vs. Unranked (AP),2017,Akron,7,6,13,0.5384615384615384
vs. FBS (I-A),2017,Akron,6,7,13,0.46153846153846156
vs. FCS (I-AA),2017,Akron,1,0,1,1.0
vs. FBS Winning,2017,Akron,1,6,7,0.14285714285714285
vs. FBS Non-Winning,2017,Akron,5,1,6,0.8333333333333334
vs. BCS AQ,2017,Akron,0,2,2,0.0
vs. BCS non-AQ,2017,Akron,6,5,11,0.5454545454545454
vs. FBS Power 5,2017,Akron,0,2,2,0.0
vs. FBS non-Power 5,2017,Akron,6,5,11,0.5454545454545454
in August/September,2017,Akron,2,3,5,0.4
in October,2017,Akron,3,1,4,0.75
in November,2017,Akron,2,1,3,0.6666666666666666
in December/January,2017,Akron,0,2,2,0.0
All Games,2018,Akron,4,8,12,0.3333333333333333
at Home,2018,Akron,2,3,5,0.4
on Road/Neutral Site,2018,Akron,2,5,7,0.2857142857142857
vs. Conference,2018,Akron,2,6,8,0.25
vs. Non-Conference,2018,Akron,2,2,4,0.5
vs. Ranked (AP),2018,Akron,1,0,1,1.0
vs. Unranked (AP),2018,Akron,3,8,11,0.2727272727272727
vs. FBS (I-A),2018,Akron,3,8,11,0.2727272727272727
vs. FCS (I-AA),2018,Akron,1,0,1,1.0
vs. FBS Winning,2018,Akron,1,6,7,0.14285714285714285
vs. FBS Non-Winning,2018,Akron,2,2,4,0.5
vs. BCS AQ,2018,Akron,1,2,3,0.3333333333333333
vs. BCS non-AQ,2018,Akron,2,6,8,0.25
vs. FBS Power 5,2018,Akron,1,2,3,0.3333333333333333
vs. FBS non-Power 5,2018,Akron,2,6,8,0.25
in August/September,2018,Akron,2,1,3,0.6666666666666666
in October,2018,Akron,2,2,4,0.5
in November,2018,Akron,0,4,4,0.0
in December/January,2018,Akron,0,1,1,0.0
All Games,2019,Akron,0,12,12,0.0
at Home,2019,Akron,0,6,6,0.0
on Road/Neutral Site,2019,Akron,0,6,6,0.0
vs. Conference,2019,Akron,0,8,8,0.0
vs. Non-Conference,2019,Akron,0,4,4,0.0
vs. Ranked (AP),2019,Akron,0,0,0,
vs. Unranked (AP),2019,Akron,0,12,12,0.0
vs. FBS (I-A),2019,Akron,0,12,12,0.0
vs. FCS (I-AA),2019,Akron,0,0,0,
vs. FBS Winning,2019,Akron,0,6,6,0.0
vs. FBS Non-Winning,2019,Akron,0,6,6,0.0
vs. BCS AQ,2019,Akron,0,1,1,0.0
vs. BCS non-AQ,2019,Akron,0,11,11,0.0
vs. FBS Power 5,2019,Akron,0,1,1,0.0
vs. FBS non-Power 5,2019,Akron,0,11,11,0.0
in August/September,2019,Akron,0,5,5,0.0
in October,2019,Akron,0,3,3,0.0
in November,2019,Akron,0,4,4,0.0
in December/January,2019,Akron,0,0,0,
All Games,2020,Akron,1,5,6,0.16666666666666666
at Home,2020,Akron,1,2,3,0.3333333333333333
on Road/Neutral Site,2020,Akron,0,3,3,0.0
vs. Conference,2020,Akron,1,5,6,0.16666666666666666
vs. Non-Conference,2020,Akron,0,0,0,
vs. Ranked (AP),2020,Akron,0,0,0,
vs. Unranked (AP),2020,Akron,1,5,6,0.16666666666666666
vs. FBS (I-A),2020,Akron,1,5,6,0.16666666666666666
vs. FCS (I-AA),2020,Akron,0,0,0,
vs. FBS Winning,2020,Akron,0,5,5,0.0
vs. FBS Non-Winning,2020,Akron,1,0,1,1.0
vs. BCS AQ,2020,Akron,0,0,0,
vs. BCS non-AQ,2020,Akron,1,5,6,0.16666666666666666
vs. FBS Power 5,2020,Akron,0,0,0,
vs. FBS non-Power 5,2020,Akron,1,5,6,0.16666666666666666
in August/September,2020,Akron,0,0,0,
in October,2020,Akron,0,0,0,
in November,2020,Akron,0,4,4,0.0
in December/January,2020,Akron,1,1,2,0.5
All Games,2021,Akron,2,10,12,0.16666666666666666
at Home,2021,Akron,1,5,6,0.16666666666666666
on Road/Neutral Site,2021,Akron,1,5,6,0.16666666666666666
vs. Conference,2021,Akron,1,7,8,0.125
vs. Non-Conference,2021,Akron,1,3,4,0.25
vs. Ranked (AP),2021,Akron,0,1,1,0.0
vs. Unranked (AP),2021,Akron,2,9,11,0.18181818181818182
vs. FBS (I-A),2021,Akron,1,10,11,0.09090909090909091
